node_id,lon,lat,node_type,degree,source,year_basis,plant_id,plant_index,storage_hub_id,storage_hub_index,province
node_00139,114.227079,38.407333,corridor_junction,6,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00140,114.548179,37.786515,corridor_junction,6,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00141,114.744691,33.72211,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00142,114.779177,27.153021,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00143,114.785491,27.165839,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00144,114.805098,40.892822,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00145,114.846151,32.29786,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00146,114.85624,32.295576,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00147,115.181433,21.043961,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00148,115.279816,27.92587,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00149,115.516588,30.082868,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00150,115.54051,30.06031,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00151,115.637309,35.322501,corridor_junction,6,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00152,115.912404,28.688694,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00153,116.033124,29.759638,corridor_junction,3,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00154,116.049461,24.379014,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00155,116.174684,37.490986,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00156,116.242752,24.33582,corridor_junction,2,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00157,116.512591,39.721422,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00158,116.521546,23.297787,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00159,116.52893,39.719098,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00160,116.529382,39.747223,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00161,116.54908,39.759303,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00162,116.683539,36.642566,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00163,116.689916,36.630668,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00164,116.814917,40.100145,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00165,116.814917,40.106997,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00166,116.831415,38.70927,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00167,116.954893,36.303572,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00168,116.993631,25.079527,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00169,117.021169,36.27156,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00170,117.039725,38.962778,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00171,117.044008,38.955997,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00172,117.146107,39.846716,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00173,117.150493,39.839451,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00174,117.205117,39.656359,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00175,117.267745,28.292751,corridor_junction,6,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00176,117.365711,38.850943,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00177,117.511401,24.576985,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00178,117.580152,43.663625,corridor_junction,11,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00179,117.73561,39.662958,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00180,117.751822,39.65931,corridor_junction,5,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00181,117.813403,36.385742,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00182,117.817432,36.555573,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00183,117.818606,36.554811,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00184,118.180561,26.613479,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00185,118.253381,34.957336,corridor_junction,6,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00186,118.283838,32.414168,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00187,118.438408,49.656314,corridor_junction,6,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00188,118.736475,32.357252,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00189,118.964903,32.408648,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00190,119.071432,26.173754,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00191,119.181148,30.818407,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00192,119.23038,34.604502,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00193,119.259674,34.880239,corridor_junction,2,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00194,119.269318,34.85803,corridor_endpoint,1,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00195,119.358942,32.819819,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00196,119.52157,29.373979,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00197,119.98712,31.717652,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00198,120.141721,32.155283,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00199,120.175573,32.026031,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00200,120.192705,32.168798,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00201,120.281157,36.171718,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00202,120.292706,36.202841,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00203,120.374369,28.20138,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00204,120.389077,46.9962,corridor_junction,5,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00205,120.483951,31.432117,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00206,120.55819,30.80965,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00207,120.738173,31.323106,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00208,120.999977,30.935508,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00209,121.026468,32.50573,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00210,121.041126,37.223725,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00211,121.042712,37.225787,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00212,121.227168,30.805462,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00213,121.274236,41.285494,corridor_junction,6,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00214,121.606644,39.032591,corridor_junction,5,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00215,122.070639,37.480866,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00216,122.478542,41.671604,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00217,122.679813,29.505198,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00218,122.689109,29.495807,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00219,123.119981,41.868909,corridor_junction,5,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00220,123.418144,41.81361,corridor_junction,10,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00221,124.212186,28.867502,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00222,124.592899,29.962054,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00223,125.157517,53.163763,corridor_endpoint,1,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00224,125.205051,46.551342,corridor_junction,9,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
