year,resource_type,region,province_name,competition_scope,used,available,unit,utilization
2060,biomass,B07056,内蒙古自治区,shared_biomass_node,259072.29464159414,259072.29464159417,GJ/yr,0.9999999999999999
2060,biomass,B07057,内蒙古自治区,shared_biomass_node,532874.1716544882,532874.1716544882,GJ/yr,1.0
2060,biomass,B07058,内蒙古自治区,shared_biomass_node,854951.1550965755,854951.1550965755,GJ/yr,1.0
2060,biomass,B07059,内蒙古自治区,shared_biomass_node,1508245.1399109152,1508245.1399109152,GJ/yr,1.0
2060,biomass,B07060,内蒙古自治区,shared_biomass_node,396062.7342380548,396062.7342380548,GJ/yr,1.0
2060,biomass,B07061,内蒙古自治区,shared_biomass_node,246743.29387857547,246743.29387857547,GJ/yr,1.0
2060,biomass,B07062,内蒙古自治区,shared_biomass_node,327255.5714935374,327255.5714935374,GJ/yr,1.0
2060,biomass,B07063,内蒙古自治区,shared_biomass_node,310574.74940941355,310574.74940941355,GJ/yr,1.0
2060,biomass,B07064,内蒙古自治区,shared_biomass_node,177727.7117334714,177727.7117334714,GJ/yr,1.0
2060,biomass,B07065,内蒙古自治区,shared_biomass_node,132580.78350766233,132580.78350766233,GJ/yr,1.0
2060,biomass,B07066,内蒙古自治区,shared_biomass_node,0.0,142738.86307392386,GJ/yr,0.0
2060,biomass,B07067,内蒙古自治区,shared_biomass_node,0.0,139770.87439581452,GJ/yr,0.0
2060,biomass,B07068,内蒙古自治区,shared_biomass_node,0.0,139566.23618823985,GJ/yr,0.0
2060,biomass,B07069,内蒙古自治区,shared_biomass_node,0.0,138972.1164515392,GJ/yr,0.0
2060,biomass,B07070,内蒙古自治区,shared_biomass_node,0.0,116484.93965679697,GJ/yr,0.0
2060,biomass,B07071,内蒙古自治区,shared_biomass_node,0.0,112745.80161508576,GJ/yr,0.0
2060,biomass,B07072,内蒙古自治区,shared_biomass_node,0.0,82246.06838448574,GJ/yr,0.0
2060,biomass,B07073,内蒙古自治区,shared_biomass_node,0.0,103454.58819615425,GJ/yr,0.0
2060,biomass,B07074,内蒙古自治区,shared_biomass_node,0.0,122186.52006743304,GJ/yr,0.0
