plant_id,water_node_id,distance_km,distance_rank,delivered_cost_cny_per_m3,year,flow_m3,centroid_longitude,centroid_latitude,province_name
P0107,WC_0060_0019_A,54.54,1,6.727,2030,6108319.239313317,121.7068036210526,39.02835461052631,Liaoning
P0107,WC_0061_0019_A,105.6,2,9.2801,2030,8025106.701692443,121.7068036210526,39.02835461052631,Liaoning
P0108,WC_0055_0010_H,35.5,1,5.7749,2030,2914558.7472,110.43623373846152,21.178269200000003,Guangdong
P0109,WC_0053_0017_D,72.19,1,7.6094,2030,8568542.688,107.89730960769232,35.14298256153846,Shaanxi
P0110,WC_0052_0012_H,35.76,1,5.7882,2030,108349889.62980004,104.76878606666668,25.310301483333333,Guizhou
P0111,WC_0055_0011_H,117.76,1,9.8882,2030,1181466.9048,109.99253175,22.4336885,Guangxi
P0113,WC_0057_0021_K,119.23,2,9.9614,2030,13833575.877138829,116.21173066666664,42.22019666666666,Inner Mongolia
P0113,WC_0058_0021_A,132.52,3,10.6262,2030,3404343.1228611693,116.21173066666664,42.22019666666666,Inner Mongolia
P0114,WC_0054_0010_H,76.42,1,7.8211,2030,1925400.2767999999,109.61024596666668,21.59652003333333,Guangxi
P0115,WC_0059_0017_E,56.51,1,6.8257,2030,13946091.3018,118.2819026,34.988247133333324,Shandong
P0116,WC_0061_0020_A,95.89,1,8.7947,2030,747771.0133999997,122.04982786666666,41.17928143333334,Liaoning
P0117,WC_0056_0016_F,63.02,1,7.151,2030,15057817.9232,112.59986043333332,33.21598703333334,Henan
P0118,WC_0061_0020_A,115.92,2,9.7959,2030,31038453.50079999,123.71805184166664,41.817224116666665,Liaoning
P0119,WC_0052_0013_F,59.66,2,6.983,2030,50068850.474999994,105.02177205882354,26.63320383529412,Guizhou
P0120,WC_0059_0024_A,67.79,1,7.3896,2030,4024898.11,119.81555575,48.5947915,Inner Mongolia
P0121,WC_0057_0011_H,63.74,1,7.1869,2030,6408341.690400001,114.86316415,22.7171561,Guangdong
P0122,WC_0054_0018_D,156.36,3,11.8179,2030,11053406.272,109.62005655238094,38.22282690476191,Shaanxi
P0124,WC_0056_0016_E,151.79,5,11.5894,2030,58256928.96649484,113.31786984347823,34.562298121739126,Henan
P0124,WC_0057_0017_E,178.03,7,12.9017,2030,5387278.527754411,113.31786984347823,34.562298121739126,Henan
P0126,WC_0059_0016_F,48.56,1,6.4278,2030,39954451.46744855,119.5260382647059,32.21680167647058,Jiangsu
P0126,WC_0059_0016_E,127.59,3,10.3794,2030,16770879.613151457,119.5260382647059,32.21680167647058,Jiangsu
P0127,WC_0058_0021_C,182.51,5,13.1255,2030,3899170.378853344,117.81527714285714,40.78629914285714,Hebei
P0128,WC_0039_0018_K,98.36,1,8.9181,2030,1847225.7670570693,79.94897945,37.21687335,Xinjiang
P0128,WC_0040_0018_K,116.58,2,9.8291,2030,1216949.4954160163,79.94897945,37.21687335,Xinjiang
P0129,WC_0053_0019_K,59.29,1,6.9644,2030,60695748.27979196,106.8149754842105,39.44216274385965,Inner Mongolia
P0129,WC_0052_0019_K,157.73,3,11.8866,2030,2659174.9424792123,106.8149754842105,39.44216274385965,Inner Mongolia
P0129,WC_0053_0020_D,167.93,5,12.3964,2030,7544718.348550567,106.8149754842105,39.44216274385965,Inner Mongolia
P0129,WC_0053_0020_K,198.89,6,13.9444,2030,5288966.666678265,106.8149754842105,39.44216274385965,Inner Mongolia
P0132,WC_0061_0022_A,43.03,1,6.1515,2030,3676242.481599999,122.82737375,45.5797501,Jilin
P0133,WC_0057_0016_E,97.34,2,8.8671,2030,24611543.059000008,116.06149366666666,32.906693999999995,Anhui
P0134,WC_0055_0018_D,55.88,1,6.7941,2030,12385204.871191578,111.00816366153846,37.48729852307692,Shanxi
P0134,WC_0054_0018_D,186.58,5,13.3291,2030,1388490.4730584235,111.00816366153846,37.48729852307692,Shanxi
P0135,WC_0060_0020_A,55.85,1,6.7923,2030,2907469.4648844213,120.3721705,41.560774,Liaoning
P0135,WC_0059_0021_A,180.62,5,13.0311,2030,1157548.235115578,120.3721705,41.560774,Liaoning
P0136,WC_0061_0022_A,124.45,1,10.2223,2030,8899717.2,122.04553733333334,46.07332433333334,Inner Mongolia
P0138,WC_0063_0020_A,66.78,1,7.3388,2030,8734816.8,126.1607947,41.841904666666665,Jilin
P0139,WC_0064_0022_A,70.75,1,7.5376,2030,7819370.588250003,129.6441606666667,44.627998,Heilongjiang
P0141,WC_0060_0018_E,81.87,1,8.0936,2030,31872915.627868272,120.34899307142857,37.63422128571428,Shandong
P0141,WC_0061_0018_E,173.18,3,12.659,2030,1089695.529631726,120.34899307142857,37.63422128571428,Shandong
P0142,WC_0060_0016_F,87.45,1,8.3723,2030,301080.465,121.67171711111112,32.064600444444444,Jiangsu
P0143,WC_0051_0011_H,42.35,1,6.1177,2030,11452337.253604654,103.20416861428572,23.831920442857147,Yunnan
P0143,WC_0051_0012_H,96.8,2,8.84,2030,8717562.746395342,103.20416861428572,23.831920442857147,Yunnan
P0144,WC_0057_0018_C,155.66,5,11.7831,2030,14347751.029499998,113.53523736363633,37.83865712727273,Shanxi
P0145,WC_0061_0020_A,104.17,3,9.2085,2030,12868971.640799997,122.111451375,40.336695375000005,Liaoning
P0146,WC_0055_0017_D,90.81,1,8.5406,2030,3682271.111586726,110.60157317,35.60675549,Shanxi
P0146,WC_0054_0017_D,160.37,3,12.0183,2030,10354048.82341328,110.60157317,35.60675549,Shanxi
P0149,WC_0053_0017_D,198.79,4,13.9394,2030,6162767.368,109.11732799999996,35.73940914285714,Shaanxi
P0150,WC_0053_0013_F,7.33,1,4.3667,2030,1335833.9400000002,107.028961,27.13609633333333,Guizhou
P0152,WC_0055_0010_H,38.97,1,5.9485,2030,11756661.549499998,110.8766253,21.674481614285718,Guangdong
P0153,WC_0065_0023_A,43.11,1,6.1554,2030,12415288.275000019,130.29474041818182,47.05959753636363,Heilongjiang
P0154,WC_0058_0019_C,43.67,1,6.1834,2030,12264775.794120854,117.49515763809524,38.89308288571428,Tianjin
