year,edge_id,from_node_id,to_node_id,length_km,corridor_type,existing_corridor_flag,edge_class,source,year_basis,available_stock_before_mtpa,build_selected,edge_active,edge_flow_mtpa,new_capacity_mtpa,total_capacity_mtpa,num_pipe_new,num_pipe_stock
2030,edge_00079,node_00207,node_00222,413.587,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00080,node_00217,node_00221,169.848,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,-0.0,20.0,-0.0,1.0
2030,edge_00081,node_00185,node_00186,283.821,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,-0.0,20.0,-0.0,1.0
2030,edge_00084,node_00178,node_00164,418.155,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00085,node_00165,node_00160,46.949,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00089,node_00076,node_00109,468.529,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,-0.0,20.0,-0.0,1.0
2030,edge_00091,node_00137,node_00112,150.202,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00093,node_00130,node_00157,282.368,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00096,node_00170,node_00176,33.278,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00098,node_00204,node_00224,371.075,oil,1,existing_main_corridor,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,20.0,0,0,0.0,-0.0,20.0,-0.0,1.0
2030,edge_00099,node_00004,node_00002,306.948,oil,1,existing_main_corridor,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00100,node_00083,node_00074,231.154,oil,1,existing_main_corridor,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00101,node_00102,node_00100,193.265,oil,1,existing_main_corridor,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,20.0,0,0,0.0,-0.0,20.0,-0.0,1.0
2030,edge_00107,node_00151,node_00194,372.834,oil,1,existing_main_corridor,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00116,node_00228,node_00190,75.565,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00118,node_00230,node_00069,150.626,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00119,node_00231,node_00090,240.423,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00120,node_00232,node_00055,151.131,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00123,node_00235,node_00215,17.749,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00124,node_00236,node_00090,26.707,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00125,node_00237,node_00063,263.037,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00127,node_00239,node_00220,88.904,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00128,node_00240,node_00128,19.993,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00129,node_00241,node_00126,156.799,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00132,node_00244,node_00192,130.936,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00133,node_00245,node_00227,190.37,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00135,node_00247,node_00212,17.452,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00136,node_00248,node_00169,109.564,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00137,node_00249,node_00201,27.423,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00138,node_00250,node_00112,53.296,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00139,node_00251,node_00069,43.505,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00140,node_00252,node_00220,304.15,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00142,node_00254,node_00162,68.672,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00147,node_00259,node_00151,85.332,oil,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00148,node_00260,node_00112,150.267,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00151,node_00263,node_00207,61.66,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00152,node_00264,node_00105,20.297,oil,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00153,node_00265,node_00066,47.77,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00154,node_00266,node_00224,155.717,oil,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00155,node_00267,node_00104,123.585,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00156,node_00268,node_00139,131.29,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00157,node_00269,node_00181,35.122,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00160,node_00272,node_00136,170.063,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00161,node_00273,node_00217,110.087,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00163,node_00275,node_00104,42.619,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00165,node_00277,node_00151,99.094,oil,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00167,node_00279,node_00199,27.035,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00168,node_00280,node_00227,157.659,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00169,node_00281,node_00144,30.131,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00170,node_00282,node_00076,210.779,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00173,node_00285,node_00192,29.455,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00174,node_00286,node_00105,134.709,oil,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00175,node_00287,node_00193,48.695,oil,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00176,node_00288,node_00183,116.053,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00177,node_00289,node_00013,173.428,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00178,node_00290,node_00062,24.605,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00180,node_00292,node_00016,120.646,oil,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00181,node_00293,node_00190,120.657,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2030,edge_00184,node_00296,node_00076,96.62,gas,0,hub_to_corridor_branch,inputs/plants_unit.csv,2025,0.0,0,0,0.0,0.0,0.0,0.0,0.0
