water_node_id,province_name,basin_code,longitude,latitude,source,year_basis
WC_0044_0017_K,西藏自治区,K,89.0724346231279,34.7572318715139,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0044_0018_K,新疆维吾尔族自治区,K,89.24925472593961,36.99336249016288,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0044_0019_K,新疆维吾尔族自治区,K,89.31370278043636,39.21904183326775,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0044_0020_K,新疆维吾尔族自治区,K,88.93762248511915,41.311462780098,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0044_0021_K,新疆维吾尔族自治区,K,88.927628927466,43.305336031871036,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0044_0022_K,新疆维吾尔族自治区,K,89.05142374147516,44.974573381247474,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0044_0023_K,新疆维吾尔族自治区,K,89.01275471360961,47.20777564713627,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0044_0024_K,新疆维吾尔族自治区,K,88.25,48.25,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0045_0013_J,西藏自治区,J,91.75,27.75,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0045_0014_J,西藏自治区,J,90.94811250958398,28.679980428446925,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0045_0015_J,西藏自治区,J,91.30722481211217,30.702372582043985,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0045_0015_K,西藏自治区,K,90.85801766176576,31.212165300784044,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0045_0016_F,青海省,F,91.28594551968902,33.5812226820424,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0045_0016_K,青海省,K,90.91990543397858,32.851494494579235,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0045_0017_F,青海省,F,91.34676923641237,34.70827038659398,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0045_0017_K,青海省,K,90.71838541556973,35.19572947616487,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0045_0018_K,新疆维吾尔族自治区,K,91.04869830776201,36.40587337793469,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0045_0019_K,新疆维吾尔族自治区,K,90.69230916246428,39.258818643628175,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0045_0020_K,新疆维吾尔族自治区,K,90.96061246628061,40.41058151904283,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0045_0021_K,新疆维吾尔族自治区,K,90.797269822983,43.512647861752825,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0045_0022_K,新疆维吾尔族自治区,K,90.72729682659786,44.78441152136746,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0045_0023_K,新疆维吾尔族自治区,K,90.37488737480051,46.77888215964032,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0046_0013_J,西藏自治区,J,93.22976009248482,27.463671881336804,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0046_0014_J,西藏自治区,J,93.47188657746585,28.73145776838904,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0046_0015_J,西藏自治区,J,93.13324583601617,30.891917274844545,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0046_0016_F,青海省,F,93.10446950687789,32.99333400546815,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0046_0016_J,西藏自治区,J,93.09012998116452,32.25,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0046_0017_F,青海省,F,92.89219685167592,34.87196467896798,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0046_0017_K,青海省,K,92.8615186557396,35.75,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0046_0018_K,青海省,K,92.9900350314841,36.78765274018039,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0046_0019_K,新疆维吾尔族自治区,K,93.03295975239409,39.161058292240234,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0046_0020_K,新疆维吾尔族自治区,K,92.72020661213652,40.49019530779504,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0046_0021_K,新疆维吾尔族自治区,K,93.08577106030083,43.337961347754394,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0046_0022_K,新疆维吾尔族自治区,K,92.90051450874523,44.45021605459924,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0047_0013_J,西藏自治区,J,94.49902628056505,27.75,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0047_0014_J,西藏自治区,J,94.91416592473139,28.659767291453335,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0047_0015_J,西藏自治区,J,95.00294642906266,30.902304651959827,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0047_0016_F,青海省,F,94.77683617534487,33.50492392222081,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0047_0016_J,青海省,J,95.01948391333211,32.787022014467276,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0047_0017_F,青海省,F,95.1216926936899,34.49515641782362,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0047_0017_K,青海省,K,95.18720452001996,35.53961830397603,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0047_0018_K,青海省,K,95.30619619811742,37.05041966681174,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0047_0019_K,甘肃省,K,95.05494450311603,38.874189352816614,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0047_0020_K,新疆维吾尔族自治区,K,95.1443616544998,40.65799478690658,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0047_0021_K,新疆维吾尔族自治区,K,94.86557584987376,42.96385100337664,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0047_0022_K,新疆维吾尔族自治区,K,94.55646774863837,44.25,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0048_0012_J,云南省,J,97.75,24.75,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0048_0014_J,西藏自治区,J,96.7208420756657,28.798600205986656,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0048_0015_F,西藏自治区,F,97.75,31.25,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0048_0015_J,西藏自治区,J,96.86945616381978,30.959613689679514,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0048_0016_F,青海省,F,97.20054338372292,33.326849905994536,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0048_0016_J,青海省,J,96.8531091410482,32.42245570097143,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0048_0017_D,青海省,D,97.14651485130192,34.64841557606843,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0048_0017_F,青海省,F,96.50488641272811,34.25,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0048_0017_K,青海省,K,97.46175678494801,35.75000000000001,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0048_0018_K,青海省,K,97.09659919942774,37.12925534536042,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0048_0019_K,甘肃省,K,97.20182181569753,38.70851819116999,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0048_0020_K,甘肃省,K,97.0144885599937,40.89843852652277,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0048_0021_K,新疆维吾尔族自治区,K,96.85496944423578,42.4542133196697,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0049_0011_J,云南省,J,99.54321548136815,22.98550909969271,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0049_0012_J,云南省,J,98.87359203131948,24.875659322913872,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0049_0013_F,云南省,F,99.61647554218368,27.302631249809423,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0049_0013_J,云南省,J,98.79649255467073,27.18553366736422,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0049_0014_F,西藏自治区,F,99.41312604417134,29.12523554202621,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0049_0014_J,西藏自治区,J,98.39437741882618,28.564240012292487,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0049_0015_F,西藏自治区,F,99.03244375836424,31.125648953846433,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0049_0015_J,西藏自治区,J,98.25,30.25,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0049_0016_D,青海省,D,99.28091748244711,33.51565089788426,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0049_0016_F,四川省,F,98.84820205412474,32.684224843812,data/water/*_qtot_*.nc,static_hydrology_grid
