unit_id,plant_site,capacity_mw,commission_year,combustion,cooling_technology,province,latitude,longitude,source,year_basis
G100000101492,信发信源铝业郝集电厂,360.0,2014,supercritical,recirculating,Shandong,36.4873847,116.3332415,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000101493,信发信源铝业郝集电厂,360.0,2014,supercritical,recirculating,Shandong,36.4873847,116.3332415,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108990,"茌平信发华宇氧化铝有限公司自备电厂, 信发华宇氧化铝发电厂",155.0,2006,subcritical,recirculating,Shandong,36.592069,116.192571,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000111202,"信发信源铝业茌平电厂, 信发茌平信源铝业自备电厂",660.0,2015,ultra-supercritical,recirculating,Shandong,36.615532,116.219147,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000111203,"信发信源铝业茌平电厂, 信发茌平信源铝业自备电厂",660.0,2015,ultra-supercritical,recirculating,Shandong,36.615532,116.219147,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000111204,"信发信源铝业茌平电厂, 信发茌平信源铝业自备电厂",660.0,2015,ultra-supercritical,recirculating,Shandong,36.615532,116.219147,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000111205,"信发信源铝业茌平电厂, 信发茌平信源铝业自备电厂",660.0,2015,ultra-supercritical,recirculating,Shandong,36.615532,116.219147,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000111206,"信发信源铝业茌平电厂, 信发茌平信源铝业自备电厂",660.0,2015,ultra-supercritical,recirculating,Shandong,36.615532,116.219147,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000111207,"信发信源铝业茌平电厂, 信发茌平信源铝业自备电厂",660.0,2016,ultra-supercritical,recirculating,Shandong,36.615532,116.219147,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113300,"信发信源铝业茌平电厂, 信发茌平信源铝业自备电厂",660.0,2022,ultra-supercritical,recirculating,Shandong,36.615766,116.225215,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113301,"信发信源铝业茌平电厂, 信发茌平信源铝业自备电厂",660.0,2022,ultra-supercritical,recirculating,Shandong,36.615766,116.225215,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113302,"信发信源铝业茌平电厂, 信发茌平信源铝业自备电厂",660.0,2022,ultra-supercritical,recirculating,Shandong,36.615766,116.225215,GEM_with_Cooling_Technology_July2025.xlsx,2025
