plant_id,plant_index,plant_site,unit_count,total_capacity_mw,mean_commission_year,retirement_year,province_mode,dominant_combustion,dominant_cooling_technology,combustion_mix,capacity_mw_once_through,capacity_mw_recirculating,capacity_mw_air,weighted_water_intensity_m3_per_mwh,quota_intensity_m3_per_mwh,air_consumption_intensity_m3_per_mwh,air_consumption_ccs_intensity_m3_per_mwh,already_air_share,requires_water_supply,centroid_latitude,centroid_longitude,source,year_basis,coast_distance_km,seawater_cooled,freshwater_intensity_m3_per_mwh,withdrawal_intensity_m3_per_mwh,consumption_intensity_m3_per_mwh,withdrawal_ccs_intensity_m3_per_mwh,consumption_ccs_intensity_m3_per_mwh,quota_ccs_intensity_m3_per_mwh
P0134,134,H350_133,13,3205.0,2007.923076923077,2047,Shanxi,subcritical,recirculating,subcritical:0.846;supercritical:0.154,0.0,1305.0,1900.0,0.9726,1.5173,0.1913,0.3491,0.5928,True,37.487298523076916,111.00816366153846,inputs/plants_unit.csv,2025,592.04,False,0.9726,1.0726,0.9283,2.0944,1.6887,2.2777
P0135,135,H350_134,4,1900.0,2014.5,2054,Liaoning,supercritical,once-through,supercritical:1.000,1900.0,0.0,0.0,0.35,0.4458,0.16,0.31,0.0,True,41.560773999999995,120.3721705,inputs/plants_unit.csv,2025,95.62,False,0.35,88.9,0.69,161.49,0.85,0.6058
P0136,136,H350_135,6,880.0,2010.5,2050,Inner Mongolia,subcritical,recirculating,subcritical:1.000,0.0,880.0,0.0,1.85,2.8136,0.2,0.36,0.0,True,46.07332433333334,122.04553733333334,inputs/plants_unit.csv,2025,570.54,False,1.85,2.31,2.01,4.51,3.65,4.4536
P0137,137,H350_136,4,1400.0,2021.0,2061,Xinjiang,supercritical,recirculating,supercritical:1.000,0.0,1400.0,0.0,1.85,2.7,0.16,0.31,0.0,True,44.005311000000006,89.43194749999999,inputs/plants_unit.csv,2025,2423.2,False,1.85,2.19,1.61,4.14,3.06,4.15
P0138,138,H350_137,6,1200.0,2003.8333333333333,2043,Jilin,subcritical,recirculating,subcritical:1.000,0.0,1200.0,0.0,1.85,2.95,0.2,0.36,0.0,True,41.841904666666665,126.16079470000001,inputs/plants_unit.csv,2025,237.9,False,1.85,2.31,2.01,4.51,3.65,4.59
P0139,139,H350_138,6,1195.0,2008.0,2048,Heilongjiang,subcritical,recirculating,subcritical:1.000,200.0,995.0,0.0,1.599,2.5339,0.2,0.36,0.0,True,44.627998,129.6441606666667,inputs/plants_unit.csv,2025,674.97,False,1.599,21.4179,1.8811,37.079,3.3354,3.9882
P0140,140,H350_139,12,11480.0,2018.6666666666667,2058,Guangdong,ultra-supercritical,once-through,ultra-supercritical:1.000,11480.0,0.0,0.0,0.35,0.3654,0.12,0.25,0.0,False,21.508771,111.54342933333332,inputs/plants_unit.csv,2025,0.33,True,0.0,0.0,0.0,0.0,0.0,0.3654
P0141,141,H350_140,28,10750.0,2012.7857142857142,2052,Shandong,subcritical,recirculating,subcritical:0.714;ultra-supercritical:0.286,5460.0,5290.0,0.0,1.0881,1.3347,0.1448,0.2841,0.0,True,37.63422128571428,120.34899307142857,inputs/plants_unit.csv,2025,2.2,True,0.9104,0.8583,0.7031,1.8112,1.369,2.0006
P0142,142,H350_141,9,6670.0,2018.888888888889,2058,Jiangsu,ultra-supercritical,once-through,ultra-supercritical:0.889;CFB:0.111,6640.0,30.0,0.0,0.3567,0.3905,0.1204,0.2505,0.0,True,32.064600444444444,121.67171711111112,inputs/plants_unit.csv,2025,1.35,True,0.0083,0.0104,0.009,0.0203,0.0164,0.3979
P0143,143,H350_142,7,2500.0,2010.142857142857,2050,Yunnan,subcritical,recirculating,subcritical:0.857;ultra-supercritical:0.143,0.0,2500.0,0.0,1.85,2.602,0.1776,0.3292,0.0,True,23.831920442857147,103.20416861428573,inputs/plants_unit.csv,2025,554.49,False,1.85,2.1056,1.8,4.2104,3.3364,4.1384
P0144,144,H350_143,22,7105.0,2009.0,2049,Shanxi,subcritical,Air,subcritical:0.636;supercritical:0.182;ultra-supercritical:0.182,0.0,1105.0,6000.0,0.6002,0.9219,0.1547,0.2987,0.8445,True,37.83865712727273,113.53523736363633,inputs/plants_unit.csv,2025,365.29,False,0.6002,0.5122,0.4362,1.0221,0.8104,1.2961
P0145,145,H350_144,8,2640.0,2007.25,2047,Liaoning,subcritical,recirculating,subcritical:0.500;supercritical:0.250;ultra-supercritical:0.250,0.0,2640.0,0.0,1.85,2.5598,0.1539,0.2979,0.0,True,40.336695375000005,122.111451375,inputs/plants_unit.csv,2025,3.01,False,1.85,1.9491,1.5721,3.9339,2.9979,3.9856
P0146,146,H350_145,10,4300.0,2004.6,2044,Shanxi,subcritical,Air,subcritical:1.000,0.0,1200.0,3100.0,0.783,1.0444,0.2,0.36,0.7209,True,35.60675549,110.60157317000001,inputs/plants_unit.csv,2025,701.21,False,0.783,0.8105,0.7051,1.583,1.2781,1.6174
P0147,147,H350_146,10,3120.0,2011.5,2051,Inner Mongolia,subcritical,recirculating,subcritical:0.600;supercritical:0.200;ultra-supercritical:0.200,0.0,3120.0,0.0,1.85,2.7282,0.1572,0.3022,0.0,True,40.9942226,112.9491444,inputs/plants_unit.csv,2025,462.69,False,1.85,1.9742,1.6029,3.9743,3.0438,4.1691
