biomass_node_id,province_id,province_name,longitude,latitude,available_gj,biomass_supply_gj,biomass_supply_tonnes_equiv,unit,mass_conversion_gj_per_tonne,base_cost_cny_per_gj,low_cost_cny_per_gj,high_cost_cny_per_gj,match_rule,competition_scope,buffer_km,aggregation_cell_deg,land_competition_included,source,year_basis
B00040,1,安徽省,115.8708142573245,33.869124429522984,9266479.979262773,9266479.979262773,617765.3319508515,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00041,1,安徽省,115.81252615423062,34.025732958091126,868611.3729167207,868611.3729167207,57907.42486111471,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00042,1,安徽省,116.1738371828548,29.895141749920015,1329517.7560472933,1329517.7560472933,88634.51706981956,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00043,1,安徽省,116.14975850158174,30.139708190801628,4490904.633772495,4490904.633772495,299393.6422514997,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00044,1,安徽省,116.12143928473253,30.375631840261693,6696132.884330296,6696132.884330296,446408.8589553531,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00045,1,安徽省,116.12601773659375,30.634001650151752,6029209.269875336,6029209.269875336,401947.28465835575,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00046,1,安徽省,116.13680402462421,30.86023756115727,5559784.804332034,5559784.804332034,370652.32028880226,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00047,1,安徽省,116.12697136303709,31.13414810561993,2381330.181564966,2381330.181564966,158755.34543766442,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00048,1,安徽省,116.1390697512848,31.39755095612606,4025050.4050232177,4025050.4050232177,268336.6936682145,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00049,1,安徽省,116.13801250045148,31.639031116795937,4480917.012569858,4480917.012569858,298727.80083799054,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
