storage_hub_id,storage_hub_index,storage_type,province,storage_dsa_mt,storage_eor_mt,storage_all_mt,injectivity_dsa_avg_mtpa,injectivity_eor_avg_mtpa,pixel_count,offshore,longitude,latitude,source,year_basis
S054,54,eor,,0.0,54.89718070626259,54.89718070626259,0.0,206.76850032806396,15,False,89.4859,42.9405,封存汇图层-Fan,Fan_raster_5km
S055,55,eor,,0.0,51.168686270713806,51.168686270713806,0.0,44.41100597381592,4,False,123.8902,44.7493,封存汇图层-Fan,Fan_raster_5km
S056,56,eor,,0.0,50.21959686279297,50.21959686279297,0.0,41.310142517089844,4,False,123.07,41.8144,封存汇图层-Fan,Fan_raster_5km
S057,57,eor,,0.0,48.27392578125,48.27392578125,0.0,1.289856195449829,1,False,106.8927,36.6639,封存汇图层-Fan,Fan_raster_5km
S058,58,eor,,0.0,43.075835928320885,43.075835928320885,0.0,156.3028106689453,8,False,116.9378,38.1714,封存汇图层-Fan,Fan_raster_5km
S059,59,eor,,0.0,42.22420156002045,42.22420156002045,0.0,426.557861328125,8,False,116.3049,39.1837,封存汇图层-Fan,Fan_raster_5km
S060,60,eor,,0.0,40.54666584543884,40.54666584543884,0.0,644.4885025024414,14,False,113.0319,32.5968,封存汇图层-Fan,Fan_raster_5km
S061,61,eor,,0.0,36.345288313925266,36.345288313925266,0.0,24.96327781677246,3,False,108.0828,36.9246,封存汇图层-Fan,Fan_raster_5km
S062,62,eor,,0.0,34.82061767578125,34.82061767578125,0.0,0.04267390817403793,1,False,108.1797,35.821,封存汇图层-Fan,Fan_raster_5km
S063,63,eor,,0.0,33.69997787475586,33.69997787475586,0.0,0.5768499374389648,1,False,85.4528,45.9037,封存汇图层-Fan,Fan_raster_5km
S064,64,eor,,0.0,33.43431091308594,33.43431091308594,0.0,0.9901925921440125,1,False,88.4001,44.9804,封存汇图层-Fan,Fan_raster_5km
S065,65,eor,,0.0,30.983476638793945,30.983476638793945,0.0,18.492280960083008,1,False,87.277,45.5206,封存汇图层-Fan,Fan_raster_5km
S066,66,eor,,0.0,30.308330535888672,30.308330535888672,0.0,0.03370339050889015,1,False,125.0371,43.3034,封存汇图层-Fan,Fan_raster_5km
S067,67,eor,,0.0,29.974806785583496,29.974806785583496,0.0,41.24934005737305,2,False,91.2467,37.8107,封存汇图层-Fan,Fan_raster_5km
S068,68,eor,,0.0,25.620000345632434,25.620000345632434,0.0,90.39415693283081,18,False,112.7717,30.4412,封存汇图层-Fan,Fan_raster_5km
S069,69,eor,,0.0,23.921959161758423,23.921959161758423,0.0,27.37795639038086,4,False,115.8964,44.7657,封存汇图层-Fan,Fan_raster_5km
S070,70,eor,,0.0,22.796184539794922,22.796184539794922,0.0,1.6503210067749023,1,False,117.6487,48.1573,封存汇图层-Fan,Fan_raster_5km
S071,71,eor,,0.0,22.704697132110596,22.704697132110596,0.0,186.20832061767578,3,False,122.829,41.4213,封存汇图层-Fan,Fan_raster_5km
S072,72,eor,,0.0,22.560754776000977,22.560754776000977,0.0,18.492280960083008,1,False,86.7219,45.6275,封存汇图层-Fan,Fan_raster_5km
S073,73,eor,,0.0,21.72185516357422,21.72185516357422,0.0,0.21280455589294434,1,False,108.7754,36.727,封存汇图层-Fan,Fan_raster_5km
S074,74,eor,,0.0,21.605207204818726,21.605207204818726,0.0,271.73379015922546,12,True,125.0119,29.0858,封存汇图层-Fan,Fan_raster_5km
S075,75,eor,,0.0,16.713428154587746,16.713428154587746,0.0,0.021253719925880432,2,False,107.4412,35.6014,封存汇图层-Fan,Fan_raster_5km
S076,76,eor,,0.0,15.644007682800293,15.644007682800293,0.0,1.289856195449829,1,False,107.5689,36.2897,封存汇图层-Fan,Fan_raster_5km
S077,77,eor,,0.0,14.413458824157715,14.413458824157715,0.0,0.5768499374389648,1,False,85.6654,46.074,封存汇图层-Fan,Fan_raster_5km
S078,78,eor,,0.0,13.893025398254395,13.893025398254395,0.0,0.043429501354694366,1,False,105.401,30.613,封存汇图层-Fan,Fan_raster_5km
S079,79,eor,,0.0,13.294531157240272,13.294531157240272,0.0,1.8008490800857544,6,False,124.4195,43.8151,封存汇图层-Fan,Fan_raster_5km
S080,80,eor,,0.0,13.115476962178946,13.115476962178946,0.0,9.015963971614838,6,False,88.6879,44.3505,封存汇图层-Fan,Fan_raster_5km
S081,81,eor,,0.0,12.569527626037598,12.569527626037598,0.0,0.4490134119987488,1,False,123.9543,45.256,封存汇图层-Fan,Fan_raster_5km
S082,82,eor,,0.0,12.544548034667969,12.544548034667969,0.0,8.13000202178955,2,False,89.2389,44.2063,封存汇图层-Fan,Fan_raster_5km
S083,83,eor,,0.0,11.908626079559326,11.908626079559326,0.0,12.74088191986084,2,False,116.0316,45.3349,封存汇图层-Fan,Fan_raster_5km
S084,84,eor,,0.0,11.823537826538086,11.823537826538086,0.0,1.3854011297225952,1,False,107.9362,37.386,封存汇图层-Fan,Fan_raster_5km
S085,85,eor,,0.0,11.541983863338828,11.541983863338828,0.0,263.477970123291,21,False,118.9694,32.8959,封存汇图层-Fan,Fan_raster_5km
S086,86,eor,,0.0,11.509568214416504,11.509568214416504,0.0,18.492280960083008,1,False,86.9115,45.8845,封存汇图层-Fan,Fan_raster_5km
S087,87,eor,,0.0,11.419645309448242,11.419645309448242,0.0,0.4490134119987488,1,False,123.8872,45.495,封存汇图层-Fan,Fan_raster_5km
S088,88,eor,,0.0,11.070439338684082,11.070439338684082,0.0,0.21280455589294434,1,False,108.4291,36.5967,封存汇图层-Fan,Fan_raster_5km
S089,89,eor,,0.0,10.697455033659935,10.697455033659935,0.0,5.459088325500488,3,False,107.5843,37.5154,封存汇图层-Fan,Fan_raster_5km
